dataset_id,dataset_name,group_name,target_key,n_features
377,Dataset377_GRP_Full_T1,GRP_Full,T1,2283
378,Dataset378_GRP_Full_T2,GRP_Full,T2,2283
379,Dataset379_GRP_Full_T3,GRP_Full,T3,2283
380,Dataset380_GRP_Full_T4,GRP_Full,T4,2283
381,Dataset381_GRP_Full_T5,GRP_Full,T5,2283
382,Dataset382_GRP_Full_T6,GRP_Full,T6,2283
383,Dataset383_GRP_Full_T7,GRP_Full,T7,2283
384,Dataset384_GRP_Full_T8,GRP_Full,T8,2283
385,Dataset385_GRP_Functional_T1,GRP_Functional,T1,703
386,Dataset386_GRP_Functional_T2,GRP_Functional,T2,703
387,Dataset387_GRP_Functional_T3,GRP_Functional,T3,703
388,Dataset388_GRP_Functional_T4,GRP_Functional,T4,703
389,Dataset389_GRP_Functional_T5,GRP_Functional,T5,703
390,Dataset390_GRP_Functional_T6,GRP_Functional,T6,703
391,Dataset391_GRP_Functional_T7,GRP_Functional,T7,703
392,Dataset392_GRP_Functional_T8,GRP_Functional,T8,703
393,Dataset393_GRP_Literature_T1,GRP_Literature,T1,72
394,Dataset394_GRP_Literature_T2,GRP_Literature,T2,72
395,Dataset395_GRP_Literature_T3,GRP_Literature,T3,72
396,Dataset396_GRP_Literature_T4,GRP_Literature,T4,72
397,Dataset397_GRP_Literature_T5,GRP_Literature,T5,72
398,Dataset398_GRP_Literature_T6,GRP_Literature,T6,72
399,Dataset399_GRP_Literature_T7,GRP_Literature,T7,72
400,Dataset400_GRP_Literature_T8,GRP_Literature,T8,72
401,Dataset401_GRP_Network_T1,GRP_Network,T1,98
402,Dataset402_GRP_Network_T2,GRP_Network,T2,98
403,Dataset403_GRP_Network_T3,GRP_Network,T3,98
404,Dataset404_GRP_Network_T4,GRP_Network,T4,98
405,Dataset405_GRP_Network_T5,GRP_Network,T5,98
406,Dataset406_GRP_Network_T6,GRP_Network,T6,98
407,Dataset407_GRP_Network_T7,GRP_Network,T7,98
408,Dataset408_GRP_Network_T8,GRP_Network,T8,98
409,Dataset409_GRP_NoStructure_T1,GRP_NoStructure,T1,2064
410,Dataset410_GRP_NoStructure_T2,GRP_NoStructure,T2,2064
411,Dataset411_GRP_NoStructure_T3,GRP_NoStructure,T3,2064
412,Dataset412_GRP_NoStructure_T4,GRP_NoStructure,T4,2064
413,Dataset413_GRP_NoStructure_T5,GRP_NoStructure,T5,2064
414,Dataset414_GRP_NoStructure_T6,GRP_NoStructure,T6,2064
415,Dataset415_GRP_NoStructure_T7,GRP_NoStructure,T7,2064
416,Dataset416_GRP_NoStructure_T8,GRP_NoStructure,T8,2064
417,Dataset417_GRP_Omics_T1,GRP_Omics,T1,144
418,Dataset418_GRP_Omics_T2,GRP_Omics,T2,144
419,Dataset419_GRP_Omics_T3,GRP_Omics,T3,144
420,Dataset420_GRP_Omics_T4,GRP_Omics,T4,144
421,Dataset421_GRP_Omics_T5,GRP_Omics,T5,144
422,Dataset422_GRP_Omics_T6,GRP_Omics,T6,144
423,Dataset423_GRP_Omics_T7,GRP_Omics,T7,144
424,Dataset424_GRP_Omics_T8,GRP_Omics,T8,144
425,Dataset425_GRP_Pathway_T1,GRP_Pathway,T1,112
426,Dataset426_GRP_Pathway_T2,GRP_Pathway,T2,112
427,Dataset427_GRP_Pathway_T3,GRP_Pathway,T3,112
428,Dataset428_GRP_Pathway_T4,GRP_Pathway,T4,112
429,Dataset429_GRP_Pathway_T5,GRP_Pathway,T5,112
430,Dataset430_GRP_Pathway_T6,GRP_Pathway,T6,112
431,Dataset431_GRP_Pathway_T7,GRP_Pathway,T7,112
432,Dataset432_GRP_Pathway_T8,GRP_Pathway,T8,112
433,Dataset433_GRP_Structure_T1,GRP_Structure,T1,219
434,Dataset434_GRP_Structure_T2,GRP_Structure,T2,219
435,Dataset435_GRP_Structure_T3,GRP_Structure,T3,219
436,Dataset436_GRP_Structure_T4,GRP_Structure,T4,219
437,Dataset437_GRP_Structure_T5,GRP_Structure,T5,219
438,Dataset438_GRP_Structure_T6,GRP_Structure,T6,219
439,Dataset439_GRP_Structure_T7,GRP_Structure,T7,219
440,Dataset440_GRP_Structure_T8,GRP_Structure,T8,219
